name,address,longitude,latitude,grade,grade_date,grade_change,gradex,gradex_date,gradex_change,gradex2,gradex2_date,gradex2_change,gradex3,gradex3_date
Kitchen on the Coast,"14 Taonga Lane, Tutukaka, Whangarei",174.5329402,-35.6257313,Grade A+,2015-11-01,0,Grade A+, 2015-03-01,,,,,,
Kiwi Cakes,"1C/D Grant Street, Kamo, Whangarei",174.301472,-35.6833479,Grade A,2016-06-01,-1,Grade A+,2015-06-01,0,Grade A+, 2014-11-01,,,
Kiwi Kai,"Waipu Hotel, 4 South Road, Waipu, Whangarei",174.323708,-35.7251117,Grade A+,2015-09-01,,,,,,,,,
Kiwiyo,"The Strand Arcade, 41 Cameron Street, Whangarei",174.3204131,-35.7254219,Grade A,2016-05-01,0,Grade A,2015-05-01,,,,,,
Korna Store,"45 Morningside  Road, Morningside, Whangarei",174.3201224,-35.7345333,Grade B,2015-08-01,,,,,,,,,
Kowharewa Bay Smokers,"146 Tutukaka Block Road, Tutukaka, Whangarei",174.5287194,-35.6215779,Grade A,2015-12-01,0,Grade A, 2014-12-01,,,,,,
La Bella Pizza and Pasta,"7 Bank Street, Whangarei",174.3191618,-35.72697,Grade A,2015-07-01,,Grade A, 2014-07-01,,,,,,
La Familia,"82 Cameron Street, Whangarei",174.3221367,-35.7263764,Grade A+,2016-02-01,0,Grade A+, 2014-12-01,,,,,,
La Nonna Italian Bakery Ruakaka,"State Highway 1, Ruakaka, Whangarei",175.2074759,-37.7264572,Grade A+,2016-02-01,,,,,,,,,
"Land and Sea Cafe, Bar and Eatery","Unit 1 and 2A, 30 Rauiri Drive, Marsden Cove, Whangarei",174.4729547,-35.8377953,Grade A+,2015-08-01,0,Grade A+,2015-07-01,,,,,,
LBz Chocoholic D'Lites,"553 Crane Road, Kauri, Whangarei",174.2846466,-35.6483941,Grade A,2016-06-01,,,,,,,,,
Legend Sushi,"507 Kamo Road, Kamo, Whangarei",174.3006572,-35.6840853,Grade A+,2015-09-01,0,Grade A+, 2013-10-01,,,,,,
Lekker Lekker,"121 Riverside Drive, Whangarei ",174.338386,-35.728844,Grade A, 2014-12-01,,,,,,,,,
Lil Espresso Alley,"Tahora House, Hospital Road, Maunu, Whangarei",174.2991423,-35.7359416,Grade A,2016-02-01,,,,,,,,,
Lil Orbits Donuts,"Okara Shopping Centre, Port Road, Whangarei",174.3302107,-35.7311504,Grade A,2016-02-01,,,,,,,,,
Lili's Cafe,"1675 State Highway 1, Whakapara, Whangarei ",174.276973,-35.541652,Grade A+,2015-11-01,0,Grade A+, 2014-12-01,,,,,,
Linksview Lookout Cafe,"3229 State Highway 1, Waipu, Whangarei",174.4582393,-35.9458795,Grade A,2016-06-01,-1,Grade A+,2015-09-01,0,Grade A+, 2014-11-01,,,
Liquor King Whangarei,"53 Maunu Road, Maunu, Whangarei",174.3116694,-35.7311981,Grade A,2015-12-01,0,Grade A, 2014-12-01,,,,,,
Little Red,"7 Cove Road, Waipu, Whangarei",174.4489912,-35.9849874,Grade A+,2016-02-01,,Grade A+, 2014-12-01,,,,,,
Love Mussel Cafe Restaurant and Wine Bar,"Town Basin, Quayside, Whangarei",174.3259879,-35.7245136,Grade A+,2016-03-01,,,,,,,,,
Luckywok Chinese Fast Food,"4 Vine Street, Whangarei",174.3190965,-35.7257003,Grade A,2016-03-01,,,,,,,,,
Lupton House,"1 Lupton Avenue, Kensington, Whangarei",174.3200413,-35.7142848,Grade A+,2016-03-01,,,,,,,,,
Mad 4 Pizza,"241 Kamo Road, Whau Valley, Whangarei",174.3124866,-35.6986656,Grade A+,2016-03-01,,,,,,,,,
Made Today,"Saint Mary's Road, Waipu, Whangarei",174.435109,-35.997137,Grade A, 2014-10-01,,,,,,,,,
Madly Indian Restaurant,"1 The Centre, Waipu, Whangarei",174.4470456,-35.9849203,Grade A,2015-12-01,,Grade A+, 2014-10-01,,,,,,
Madly Thai Restaurant,"Shop 5, Big Tomato Complex, Port Marsden Highway, Whangarei",174.4522633,-35.8634135,Grade A+,2016-03-01,,,,,,,,,
Magic Tasty Takeaways,"2/4 The Centre, Waipu, Whangarei",174.4470337,-35.9846096,Grade B,2015-10-01,-3,Grade A+, 2014-04-01,,,,,,
Malbas," 37 Vine Street, Whangarei",174.318999,-35.725516,Grade A, 2013-03-01,,,,,,,,,
Manaia Espresso,"Walu Lane (Pvt), Matapouri, Whangarei",174.5157714,-35.585735,Grade B,2016-04-01,,,,,,,,,
Marina Pizzeria,"Marina Road, Tutukaka, Whangarei",174.5260906,-35.6090796,Grade A+,2015-07-01,0,Grade A+, 2014-08-01,,,,,,
Marsden Cove Marina General Store,"Unit 10, 30 Rauiri Drive, Marsden Cove, Whangarei",174.4687823,-35.8368687,Grade A,2016-03-01,1,Grade B+,2015-09-01,,,,,,
Matapouri Bay Store,"952 Matapouri Road, Matapouri, Whangarei",174.5037295,-35.5657255,Grade A,2016-03-01,0,Grade A, 2015-03-01,,,,,,
Maungakaramea Service Station,"15 Tauraroa Road, Maungakaramea, Whangarei",174.2049557,-35.8449896,Grade A,2015-12-01,0,Grade A, 2014-12-01,,,,,,
Maunu Hot Bread Shop,"74 Maunu Road, Maunu, Whangarei",174.3116824,-35.7307451,Grade A+,2015-09-01,0,Grade A+, 2014-09-01,,,,,,
Maunu Superette,"11 Maunu Road, Maunu, Whangarei",174.3158654,-35.7284943,Grade A,2015-06-01,0,Grade A, 2014-06-01,,,,,,
McDonalds,"145 Bank Street, Regent, Whangarei",174.321391,-35.718549,Grade A, 2015-03-01,,,,,,,,,
McDonalds Kamo,"511 Kamo Road, Kamo, Whangarei",174.300722,-35.683719,Grade A,2016-05-01,0,Grade A, 2015-03-01,,,,,,
McMorrissey's Irish Pub and Eatery,"7 Vine Street, Whangarei",174.3196006,-35.7257143,Grade A+, 2015-02-01,,,,,,,,,
Meadow Park Store,"1 Meadow Park Crescent, Tikipunga, Whangarei",174.3317952,-35.684408,Grade A,2015-08-01,0,Grade A, 2014-09-01,,,,,,
Mean Ear Vietnamese Restaurant,"Rathbone Street, Whangarei",174.3213617,-35.7240557,Grade A+,2016-03-01,,,,,,,,,
Mega Cafe Whangarei,"44 Porowini Avenue, Whangarei",174.3215713,-35.7320302,Grade A+,2015-09-01,0,Grade A+, 2014-09-01,,,,,,
Meganlicious Cakes,"32 Tudehope Road, Matarau, Whangarei",174.2187469,-35.6559134,Grade A+,2015-09-01,,,,,,,,,
Mi Case Gallery,"Stall, Sandy Bay, Whangarei",174.4750137,-35.5324746,Grade A,2015-11-01,,,,,,,,,
Miners Rest Cafe,"45 King Street, Hikurangi, Whangarei",174.2858363,-35.5972909,Grade A,2016-05-01,0,Grade A, 2014-05-01,,,,,,
Miner's Restaurant Cafe,"George Street, Hikurangi, Whangarei",174.2867719,-35.6083354,Grade A+,2015-08-01,,,,,,,,,
Mobil Tikipunga,"209 Kiripaka Road, Tikipunga, Whangarei",174.3285219,-35.6846452,Grade A,2015-07-01,0,Grade A, 2014-08-01,,,,,,
Mokaba,"6 Quayside, Town Basin, Whangarei",174.323708,-35.7251117,Grade A+,2015-11-01,,,,,,,,,
Mr Whippy Northland,"Mobile Van, Whangarei",174.323708,-35.7251117,Grade A,2015-07-01,,,,,,,,,
Name,Address,X,Y,Grade,Published,Change,GradeX,PublishedX,ChangeX,GradeX1,PublishedX1,,,
Nando's," 12 Vine Street, Whangarei",174.31924,-35.725802,Grade A+, 2015-02-01,,,,,,,,,
Narbey Olive Oil," 728 Ormiston Road, Waipu, Whangarei ",174.387944,-35.934734,Grade A, 2014-05-01,,,,,,,,,
Nectar Cafe,"84 Bank Street, Whangarei",174.3199477,-35.7237641,Grade A+,2015-11-01,0,Grade A+, 2014-12-01,,,,,,
Newday Cafe and Catering,"1387 Whangarei Heads Road, Parua Bay, Whangarei",174.4805517,-35.7691531,Grade A+,2016-04-01,0,Grade A+,2015-06-01,0,Grade A+, 2014-06-01,,,
Ngunguru Foodmart,"1977 Ngunguru Road, Ngunguru, Whangarei",174.504167,-35.629721,Grade A, 2015-03-01,,,,,,,,,
Ngunguru Takeaways,"1977 Ngunguru Road, Ngunguru, Whangarei",174.5041669,-35.6297214,Grade B,2016-06-01,-3,Grade A+,2015-06-01,,,,,,
No7 Espresso,"Rust Avenue, Whangarei",174.3180649,-35.7236491,Grade B,2016-04-01,,,,,,,,,
Noodle Canteen (Whangarei),"53 Vine Street, Whangarei",174.3193529,-35.7255502,Grade A+,2015-11-01,0,Grade A+, 2014-10-01,,,,,,
Noodle Canteen Tikipunga,"81 Paramount Parade, Tikipunga, Whangarei",174.3219802,-35.6829289,Grade A+,2015-09-01,0,Grade A+, 2014-10-01,,,,,,
North Tec Snak N Yak  Cafeteria," 49 Raumanga Valley Road, Raumanga, Whangarei",174.306077,-35.740333,Grade A+, 2015-03-01,,,,,,,,,
Northern Live Fisheries," Food Stall @ Whangarei Grower's Market, Water Street Car Park, ",174.318495,-35.725989,Grade A,2016-05-01,0,Grade A, 2014-09-01,,,,,,
Northland Hockey Association,"Western Hills Drive, Kensington, Whangarei",174.312649,-35.7084818,Grade A,2015-08-01,0,Grade A, 2014-08-01,,,,,,
Northland Ice 3 Cubed,"108 Cameron Street, Whangarei",174.3231996,-35.7270994,Grade B+,2016-02-01,,,,,,,,,
Nosebag Kafe,"203 Whau Valley Road, Whau Valley, Whangarei ",174.294347,-35.703879,Grade A+, 2014-06-01,,,,,,,,,
NZ Fudge Farm,"Shop 3, Quay Street, Town Basin, Whangarei",174.323708,-35.7251117,Grade A+,2015-08-01,,,,,,,,,
Oakleigh Service Station,"State Highway 1, Oakleigh, Whangarei",174.2994885,-35.7914097,Grade A,2016-02-01,-1,Grade A+, 2014-12-01,,,,,,
Oakura Bay Cafe,"155 Oakura Road, Oakura, Whangarei ",174.343487,-35.389133,Grade B,2015-12-01,0,Grade B , 2014-12-01,,,,,,
Oakura Bay Store,"138 Oakura Road, Oakura, Hikurangi",174.342788,-35.390447,Grade A,2015-08-01,0,Grade A, 2014-08-01,,,,,,
Oasis Store,"21 Bream Bay Drive, Ruakaka, Whangarei",174.4550969,-35.9065164,Grade B+,2016-04-01,-1,Grade A, 2015-03-01,,,,,,
Oceans Resort Tutukaka," 4-11 Marina Road, Tutukaka, Whangarei",174.524447,-35.609715,Grade A+,2015-07-01,0,Grade A+, 2014-08-01,,,,,,
Okara Lunchbar,"61 Port Road, Whangarei",174.329598,-35.7298401,Grade A+,2016-03-01,,,,,,,,,
Okara Sushi Town,"Okara Shopping Centre, 38 Port Road, Whangarei",174.3294767,-35.7306855,Grade A,2016-05-01,-1,Grade A+,2015-07-01,,,,,,
Okara Takeaways,"36 Port Road, Whangarei",174.3299692,-35.730719,Grade A+,2015-11-01,,,,,,,,,
Okara Yummy Sushi,"Okara Shopping Centre, 38 Port Road, Whangarei",174.3294767,-35.7306855,Grade B,2016-05-01,-3,Grade A+,2015-07-01,,,,,,
Old Taurikura Store,"Whangarei Heads Road, Taurikura, Whangarei",174.5236559,-35.8256549,Grade A+,2016-02-01,,,,,,,,,
Omak Meats,"531 Kamo Road, Kamo, Whangarei",174.3005032,-35.6830975,Grade A,2015-07-01,0,Grade A, 2014-07-01,,,,,,
One Tree Point Store,"178 One Tree Point Road, One Tree Point, Whangarei",174.4588089,-35.8254644,Grade A,2016-03-01,0,Grade A, 2015-03-01,,,,,,
Onerahi Bakery,"114 Onerahi Road, Onerahi, Whangarei",174.3680823,-35.7548574,Grade A+,2015-09-01,,,,,,,,,
Onerahi Dairy,"114A Onerahi Road, Onerahi, Whangarei",174.3680897,-35.7549116,Grade B,2016-05-01,-2,Grade A, 2015-04-01,,,,,,
Onerahi Fish and Takeaways,"121 Onerahi Road, Onerahi, Whangarei",174.3677319,-35.7488383,Grade A+,2015-10-01,,,,,,,,,
Onerahi Foodmart,"16 Old Onerahi Road, Onerahi, Whangarei",174.365647,-35.749325,Grade A, 2014-08-01,,,,,,,,,
Onerahi Hot Bread Shop,"122 Onerahi Road, Onerahi, Whangarei",174.3681891,-35.7553373,Grade A+,2015-09-01,,,,,,,,,
Onerahi Tavern,"Cnr Waverley Street and Onerahi Road, Onerahi, Whangarei",174.3684083,-35.7543435,Grade A+,2015-11-01,0,Grade A+, 2014-11-01,,,,,,
Oriental Foodmart,"8 John Street, Whangarei",174.3220847,-35.7257665,Grade B,2016-05-01,-2,Grade A, 2015-04-01,,,,,,
Otaika Dairy,"1 Otaika Road, Whangarei",174.3099621,-35.7324538,Grade B+,2015-09-01,-1,Grade A, 2014-09-01,,,,,,
Otaika Takeaways,"1 Otaika Road, Whangarei",174.3099621,-35.7324538,Grade A+,2015-09-01,0,Grade A+, 2014-09-01,,,,,,
Otangarei Superette,"167 William Jones Drive, Otangarei, Whangarei",174.3196358,-35.6949395,Grade A,2015-11-01,0,Grade A, 2014-11-01,,,,,,
Outboard," Marsden Point Road, Ruakaka, Whangarei",174.453613,-35.879439,Grade A, 2015-03-01,,,,,,,,,
Pacific Rendezvous  Store," 73 Motel Road, Tutukaka, Whangarei",174.536106,-35.621056,Grade A, 2015-03-01,,,,,,,,,
Pacific Rim Food Corporation," 3 Rewa Rewa Road, Whangarei ",174.312238,-35.752219,Grade A, 2014-12-01,,,,,,,,,
Pantry Cafe,"50 Kioreroa Road, Whangarei",174.3313222,-35.741843,Grade B,2016-04-01,-3,Grade A+,2015-08-01,0,Grade A+, 2014-04-01,,,
Parua Bay Fish and Chip Shop,"1037 Whangarei Heads Road, Parua Bay, Whangarei",174.451271,-35.7725254,Grade A+,2015-08-01,0,Grade A+, 2013-12-01,,,,,,
Parua Bay Gas Station," Whangarei Heads Road, Parua Bay, Whangarei",174.420743,-35.778535,Grade A, 2015-03-01,,,,,,,,,
Parua Bay Tavern,"1034 Whangarei Heads Road, Parua Bay, Whangarei",174.4517376,-35.7727392,Grade A,2016-05-01,-1,Grade A+, 2015-03-01,,,,,,
Parua Boys Bakery,"1375 Whangarei Heads Road, Parua Bay, Whangarei",174.4794392,-35.7695415,Grade B,2016-05-01,-3,Grade A+, 2014-08-01,,,,,,
Pataua Olive Grove,"28 Mahanga Road, Pataua South, Whangarei",174.5272676,-35.7186603,Grade A,2016-04-01,,,,,,,,,
Patel's Foodmarket," 162A Kamo Road, Kensington, Whangarei",174.31283,-35.698014,Grade B,2016-06-01,0,Grade B, 2015-04-01,,,,,,
Pauline Yearbury Catering,"25 Matapouri Road, Ngunguru, Whangarei",174.511201,-35.6244057,Grade A,2015-10-01,0,Grade A, 2014-10-01,,,,,,
Penny Farthing  Lunchbar," 81 Bank Street, Whangarei",174.319879,-35.723118,Grade B+, 2013-04-01,,,,,,,,,
Petra's Pantry,"47 The Centre, Waipu, Whangarei",174.4447247,-35.9843882,Grade A+,2016-02-01,0,Grade A+, 2014-12-01,,,,,,
Pilkingtons Cafe,"36 Port Road, Whangarei",174.3299692,-35.730719,Grade A,2016-06-01,,,,,,,,,
Pimarn Thai Restaurant,"12 Rathbone Street, Whangarei",174.3208945,-35.7247643,Grade A+,2015-10-01,0,Grade A+, 2014-10-01,,,,,,
Pipers Restaurant,"Clansman Motel, 30 Cove Road, Waipu, Whangarei",174.323708,-35.7251117,Grade B,2016-06-01,,,,,,,,,
Pita Pit Whangarei,"Shop 4, Okara Shopping Centre, Port Road, Whangarei",174.3381585,-35.7406583,Grade A+,2016-03-01,,,,,,,,,
Pizza Hut Whangarei,"141 Bank Street, Regent, Whangarei",174.3210191,-35.7196473,Grade A,2016-05-01,-1,Grade A+,2015-05-01,0,Grade A+, 2014-05-01,,,
Plaza Mobil Mart,"4 Albert Street, Whangarei",174.320542,-35.7279131,Grade A,2015-11-01,0,Grade A, 2014-11-01,,,,,,
Poroti Tavern,"752 Mangakahia Road, Poroti, Whangarei ",174.130665,-35.737381,Grade B,2016-04-01,-2,Grade A, 2014-11-01,,,,,,
Portland Staff Cafeteria,"Portland Road, Portland, Whangarei",174.3179679,-35.798017,Grade A+,2015-11-01,,,,,,,,,
Puncles,"163 Kiripaka Road, Tikipunga, Whangarei",174.3266028,-35.686942,Grade A+,2015-07-01,,,,,,,,,
Putiputi Ra,"79 Walton Street, Whangarei",174.3236824,-35.7251802,Grade B+,2015-12-01,1,Grade B , 2014-12-01,,,,,,
Quail Cafe,"Russell Road, Kensington, Whangarei",174.3089622,-35.7091246,Grade A,2016-04-01,,,,,,,,,
Quail Ridge Olives," 143 Sawa Way, Matapouri Bay, Whangarei ",174.501248,-35.565318,Grade A, 2014-12-01,,,,,,,,,
Quarry Studio Cafe,"21 Selwyn Avenue, Whangarei",174.312392,-35.72163,Grade B+,2015-12-01,0,Grade B+ , 2014-12-01,,,,,,
Rainbow Dairy,"25 Rust Avenue, Whangarei",174.3164933,-35.7226949,Grade C,2016-05-01,-1,Grade B,2015-09-01,-1,Grade B+, 2013-09-01,,,
Rascals Cafe," 6 Rathbone Street, Whangarei",174.320665,-35.724961,Grade A+, 2014-10-01,1,Grade A, 2013-09-01,,,,,,
Rascals Takeaway,"Rathbone Street, Whangarei",174.3213617,-35.7240557,Grade A+,2016-03-01,,,,,,,,,
Rasheed's Shop N Save,"3 Maunu Road, Whangarei",174.3164207,-35.7280804,Grade B+,2016-02-01,-1,Grade A, 2014-12-01,,,,,,
RD 1(now Farm Source),"18 Kioreora Road, Whangarei",174.3333713,-35.7400384,Grade A,2015-10-01,,,,,,,,,
Red Pizzeria,"Corner of Kensington Avenue and Davies Street, Kensington, ",174.320872,-35.708628,Grade A+,2015-06-01,0,Grade A+, 2014-07-01,,,,,,
Reduced to Clear,"Tarewa Shopping Centre, Whangarei",174.323708,-35.7251117,Grade A,2015-08-01,,,,,,,,,
Refuel Cafe,"Western Hills Drive, Kensington, Whangarei",174.312649,-35.7084818,Grade A,2016-06-01,-1,Grade A+,2015-05-01,,Grade A+, 2014-06-01,,,
Regency Pies,"45 Maunu Road, Maunu, Whangarei",174.3125583,-35.7307059,Grade A,2015-09-01,0,Grade A, 2014-08-01,,,,,,
Relish Cafe and  Catering," 81 Paramount Parade, Tikipunga, Whangarei",174.32198,-35.682929,Grade A+, 2014-09-01,,,,,,,,,
Reva's on the Waterfront,"Town Basin, Quayside, Whangarei",174.3259879,-35.7245136,Grade A+,2016-03-01,,,,,,,,,
Riverside Bakery,"121 Riverside Drive, Riverside, Whangarei",174.3383861,-35.7288437,Grade A+,2015-10-01,0,Grade A+, 2014-10-01,,,,,,
Riverside Cafe,"14 Quayside, Town Basin, Whangarei",174.323708,-35.7251117,Grade A+,2015-11-01,,,,,,,,,
Road House Lunchbar & Cafe,"7 Rewa Rewa Road, Whangarei",174.3122376,-35.7522036,Grade B,2016-05-01,-3,Grade A+, 2014-05-01,,,,,,
Roadside Tuckshop,Mobile Shop Whangarei,174.323708,-35.7251117,Grade A,2015-05-01,,,,,,,,,
Rock Salt Catering,"Forum North, Rust Avenue, Whangarei",174.3180649,-35.7236491,Grade A+,2016-03-01,,,,,,,,,
Ruakaka Sushi Shop,"Ruakaka Shopping Centre, 378 Marsden Point Road, Ruakaka, Whangarei",174.323708,-35.7251117,Grade A+,2015-09-01,0,Grade A+, 2014-09-01,,,,,,
Ruakaka Tavern," 12 Marsden Point Road, Ruakaka, Whangarei",174.453613,-35.879439,Grade A, 2013-03-01,,,,,,,,,
Ruatangata Motors and Takeaways,"5 Thorburn Road, Ruatangata, Whangarei",174.210049,-35.669936,Grade A+,2015-06-01,1,Grade A, 2014-02-01,,,,,,
Rynoz Bar and Grill,"79 Cameron Street, Whangarei",174.321354,-35.7262531,Grade A+,2015-10-01,0,Grade A+, 2014-10-01,,,,,,
Sabai Thai Restaurant and Takeaway,"150 Bank Street, Whangarei",174.3216447,-35.7191436,Grade A,2015-11-01,0,Grade A, 2014-11-01,,,,,,
Sabres Ezi Meals,"80 Station Road, Kamo, Whangarei",174.310067,-35.6776439,Grade A,2015-09-01,0,Grade A, 2014-08-01,,,,,,
Salt Air Cafe,"1983 Ngunguru Road, Ngunguru, Whangarei",174.504639,-35.6293824,Grade A+,2016-03-01,0,Grade A+, 2015-03-01,,,,,,
Sapporo Sushi," 71 Cameron Street, Whangarei",174.320852,-35.726066,Grade A+, 2015-04-01,,,,,,,,,
Savoeun's Pastry Cafe,"119 Maunu Road, Maunu, Whangarei",174.3050754,-35.7343824,Grade A+,2015-07-01,0,Grade A+, 2014-07-01,,,,,,
Schnapper Rock Restaurant,"Cnr Marlin Place & Marina Road, Tutukaka, Whangarei",174.52651,-35.608829,Grade A,2016-03-01,0,Grade A, 2015-03-01,,,,,,
Seachange Beach Cafe,"79 Bream Bay Drive, Ruakaka, Whangarei ",174.459957,-35.908554,Grade A,2015-12-01,0,Grade A, 2014-11-01,,,,,,
Seasons Cafe,"91 Kamo Road, Kensington, Whangarei",174.3216347,-35.7091762,Grade A+,2015-12-01,0,Grade A+, 2014-10-01,,,,,,
Serenity Cafe,"Shop 6, Town Basin, Quayside Way, Whangarei",174.323708,-35.7251117,Grade A+,2016-03-01,,,,,,,,,
Shed Seven and Dive! Tutukaka,"Marina Road, Tutukaka, Whangarei",174.5260906,-35.6090796,Grade A+,2015-08-01,0,Grade A+,2015-07-01,,,,,,
Sherwood Park Golf Club,"114 Millington Road, Maunu, Whangarei",174.241931,-35.7333234,Grade A+,2015-07-01,0,Grade A+, 2014-08-01,,,,,,
Shiraz Indian Restaurant and Bar,"58 Walton Street, Whangarei",174.3211081,-35.7271901,Grade A,2016-06-01,-1,Grade A+,2015-07-01,,,,,,
Shiraz Indian Restaurant Kamo,"569 Kamo Road, Kamo, Whangarei",174.3001995,-35.6820189,Grade A+,2015-11-01,0,Grade A+, 2014-11-01,,,,,,
Shiraz Indian Sweets  & Snacks," 56 Walton Street, Whangarei",174.322714,-35.726081,Grade A+, 2015-03-01,,,,,,,,,
Shotgun Betty's,"37 Vine Street, Whangarei",174.318999,-35.7255159,Grade A+,2015-10-01,0,Grade A+, 2014-10-01,,,,,,
Soda Cafe,"505 Kamo Road, Kamo, Whangarei",174.3009686,-35.6839788,Grade A+,2015-09-01,0,Grade A+, 2014-09-01,,,,,,
Something American,"1824 Pataua North Road, Pataua North, Whangarei",174.5101959,-35.7026404,Grade A+,2016-04-01,,,,,,,,,
Spanish Churros New Zealand," 205 Kamo Road, Kamo, Whangarei ",174.314525,-35.700894,Grade A, 2013-08-01,,,,,,,,,
Special Olympics  Chockies," 174 Portland Rd, Portland, Whangarei",174.317322,-35.7978,Grade A+, 2014-07-01,,,,,,,,,
Spice Route,"Princes Road, Ruakaka, Whangarei",174.4512226,-35.9003836,Grade A+,2016-02-01,,,,,,,,,
Spice Traders,"The Strand, 41 Cameron Street, Whangarei",174.3204131,-35.7254219,Grade A+,2016-03-01,,,,,,,,,
Split Bar and Restaurant,"15 Rathbone Street, Whangarei",174.3208633,-35.724365,Grade A+,2015-06-01,1,Grade A, 2013-10-01,,,,,,
Spot On Ice and Bait,"28 Herekino Street, Whangarei",174.3295378,-35.7284807,Grade A,2015-07-01,0,Grade A, 2014-09-01,,,,,,
Springs Flat Roadhouse,"53 Great North Road, Kamo, Whangarei",174.2980554,-35.6684577,Grade A,2015-12-01,-1,Grade A+, 2014-12-01,,,,,,
Stakeout Bar and Grill,"117 Bank Street, Whangarei",174.3202481,-35.721417,Grade A+,2015-11-01,0,Grade A+, 2014-12-01,,,,,,
Strikers Cafe,"Inside the Whangarei 10 Pin Bowling and Lazer Centre, 129 Port Road, Whangarei",174.3330987,-35.7338853,Grade A+,2015-07-01,,,,,,,,,
Stroop o'Clock," 45 Te Maika Road, Ngunguru, Whangarei",174.515582,-35.625993,Grade A+, 2015-03-01,,,,,,,,,
Stumpy's Takeaways,"121 Riverside Drive, Riverside, Whangarei",174.3383861,-35.7288437,Grade A+,2015-10-01,0,Grade A+, 2014-10-01,,,,,,
Subway Okara,"Okara Shopping Centre, Port Road, Whangarei",174.3302107,-35.7311504,Grade A+,2016-03-01,0,Grade A+, 2015-03-01,,,,,,
Subway Tarewa,"15 Lower Tarewa Road, Whangarei",174.3186495,-35.7287459,Grade A+,2016-03-01,0,Grade A+, 2015-03-01,,,,,,
Subway Whangarei,"11 Rathbone Street, Whangarei",174.320763,-35.724415,Grade A+,2016-03-01,0,Grade A+, 2015-03-01,,,,,,
Sugar and Iced,"61 Russell Road, Whangarei",174.3092928,-35.70963,Grade A,2016-06-01,,,,,,,,,
Sugar Rush,"37 Bank Street, Whangarei ",174.31939,-35.725198,Grade B,2015-07-01,0,Grade B , 2014-06-01,,,,,,
Suk Jai Thai Restaurant,"93 Kamo Road, Kensington, Whangarei",174.321606,-35.70903,Grade A+,2015-08-01,0,Grade A+, 2014-09-01,,,,,,
Sun City Takeaways,"59 King Street, Hikurangi, Whangarei",174.285603,-35.59626,Grade A+, 2013-09-01,,,,,,,,,
Sun Wah Restaurant,"13 Bank Street, Whangarei",174.31911,-35.7263318,Grade A+,2015-09-01,,,,,,,,,
Suncourt Sushi,"60 Cameron Street, Whangarei",174.3213561,-35.7257159,Grade A+,2016-03-01,,,,,,,,,
Sunnyside Foodmarket,"78 Station Road, Kamo, Whangarei",174.3099556,-35.6776768,Grade A,2015-09-01,0,Grade A, 2014-10-01,,,,,,
Surplus Direct,"25 Walton Street, Whangarei",174.318545,-35.72739,Grade A, 2014-09-01,,,,,,,,,
Sushi Republic,"The Strand, 41 Cameron Street, Whangarei",174.3204131,-35.7254219,Grade A+,2016-03-01,,,,,,,,,
Sushi Republic Okara,"4 Port Road, Whangarei",174.3272331,-35.7299622,Grade A+,2015-11-01,,,,,,,,,
Sweet Az Ice Cream,"62 High Street, Whangarei",174.31591,-35.741632,Grade A,2016-02-01,0,Grade A, 2014-03-01,,,,,,
Tahi Cafe,"1774 Pataua North Road, Pataua North, Whangarei",174.5054668,-35.697313,Grade A+,2016-04-01,0,Grade A+, 2014-08-01,,,,,,
Tai Tong Restaurant &  Takeaway,"206 Bank Street, Whangarei",174.3227782,-35.7157089,Grade A+,2015-10-01,0,Grade A+, 2015-03-01,,,,,,
Taihoa Trust,"18 Taihoa Road, Parua Bay, Whangarei",174.4831477,-35.7772496,Grade A,2016-04-01,0,Grade A,2015-05-01,0,Grade A, 2013-05-01,,,
Tank Fuel,"Cameron Street, Whangarei",174.3221247,-35.7265927,Grade B,2016-04-01,,,,,,,,,
Tawapou Coastal  Natives," 606 Matapouri Road, Matapouri, Whangarei",174.518069,-35.582832,Grade A, 2015-03-01,,,,,,,,,
T-Cam Takeaway,"State Highway 14, Maungatapere, Whangarei",174.237636,-35.7408623,Grade B+,2015-08-01,,,,,,,,,
Te Rongo Road Caterers,"167 Te Rongo Road, Parua Bay, Whangarei",174.4419115,-35.7635214,Grade A,2016-06-01,,,,,,,,,
The Apprentice Cafe,"19 Dyer Street, Whangarei",174.3147179,-35.7568176,Grade A+,2015-09-01,0,Grade A+, 2014-09-01,,,,,,
The Apprentice Restaurant,"NorthTec, 49 Raumanga Valley Road, Whangarei",174.306077,-35.7403335,Grade A,2016-06-01,-1,Grade A+,2016-03-01,,,,,,
The Aussie Butcher," Otaika Road, Otaika, Whangarei",174.307729,-35.74315,Grade A, 2015-03-01,,,,,,,,,
The Bakehouse Cafe,"21 Rathbone Street, Whangarei",174.3210115,-35.7242486,Grade A+,2015-08-01,0,Grade A+, 2014-08-01,,,,,,
The Baker's Crust,"81 Port Road, Whangarei",174.3303452,-35.7300256,Grade A+,2015-08-01,0,Grade A+, 2014-08-01,,,,,,
The Beach House Restaurant,"Cove Road, Waipu",174.488977,-36.016168,Grade A, 2013-03-01,,,,,,,,,
The Cabbage Tree,"18 Rathbone Street, Whangarei",174.3212673,-35.724176,Grade B,2016-06-01,,,,,,,,,
