Name,Grade,Rank,Address,Published,XCOORD,YCOORD
Subway Okara, Grade A+,," Okara Drive, Whangarei", Mar-15,174.327282,-35.733238
Subway Tarewa, Grade A+,," 15 Lower Tarewa Road, Whangarei", Mar-15,174.318646,-35.728727
Subway Whangarei, Grade A+,," 11 Rathbone Street, Whangarei", Mar-15,174.320763,-35.724415
Sugar Rush, Grade B ,," 37 Bank Street, Whangarei ", Jun-14,174.31939,-35.725198
Suk Jai Thai  Restaurant, Grade A+,," 93 Kamo Road, Kensington, Whangarei", Sep-14,174.321606,-35.70903
Sun City Takeaways, Grade A+,," 59 King Street, Hikurangi, Whangarei", Sep-13,174.285603,-35.59626
Sunnyside  Foodmarket, Grade A,," 78 Station Road, Kamo, Whangarei", Oct-14,174.309843,-35.677836
Surplus Direct, Grade A,," 25 Walton Street, Whangarei", Sep-14,174.318545,-35.72739
Sweet Az Ice Cream, Grade A,," 62 High Street, Whangarei", Mar-14,174.31591,-35.741632
Tahi Cafe, Grade A+,," 1774 Pataua North Road, Pataua North, Whangarei", Aug-14,174.505471,-35.697298
Tai Tong Restaurant &  Takeaway, Grade A+,," 206-208 Bank Street, Regent, Whangarei", Mar-15,174.322917,-35.7158
Taihoa Trust, Grade A ,," 18 Taihoa Road, Parua Bay, Whangarei ", May-13,174.483148,-35.77725
Tawapou Coastal  Natives, Grade A,," 606 Matapouri Road, Matapouri, Whangarei", Mar-15,174.518069,-35.582832
The Apprentice Cafe, Grade A+,," Dyer Street, Otaika, Whangarei", Sep-14,174.31333,-35.755129
The Aussie Butcher, Grade A,," Otaika Road, Otaika, Whangarei", Mar-15,174.307729,-35.74315
The Bakehouse Cafe, Grade A+,," 21 Rathbone Street, Whangarei", Aug-14,174.321012,-35.724249
The Baker's Crust, Grade A+,," 81 Port Road, Whangarei", Aug-14,174.330345,-35.730026
The Beach House  Restaurant, Grade A,," Cove Road, Waipu", Mar-13,174.488977,-36.016168
The Cafe Helena Bay Hill, Grade A+ ,," 1392 Russell Road, Helena Bay", May-14,174.328076,-35.457851
The Cheesecake Shop, Grade A+ ,," 1 Lower Tarewa Road, Whangarei ", Dec-14,174.319163,-35.727741
The Fruit & Vege Warehouse, Grade A ,," 26 Maunu Road, Whangarei ", Jun-14,174.315363,-35.728602
The Herekino Street Lunchbar, Grade A+ ,," 10 Herekino Street, Whangarei ", Dec-14,174.328167,-35.728188
The Kamo Hotel, Grade A+ ,," 567 Kamo Road, Kamo, Whangarei ", Nov-14,174.299938,-35.682948
The Korna Store, Grade A,," 45 Morningside Road, Whangarei", Aug-14,174.320122,-35.734533
The Lettuce Patch, Grade A,," 413 Otaika Valley Road, Otaika, Whangarei", Oct-14,174.260045,-35.774713
The Mustard Seed  Cafe, Grade A+,," 26 Rathbone Street, Whangarei", Apr-13,174.321985,-35.723493
The Office Cafe, Grade A+,," State Highway 14, Maunatapere", Sep-14,174.207343,-35.755106
The Old Stone Butter Factory, Grade A ,," 8 Butter Factory Lane, Whangarei ", Dec-14,174.320118,-35.723744
The Press Cafe in  the Park, Grade A+,," 92 Otaika Road, Whangarei", Apr-15,174.310084,-35.738188
The Roadhouse Lunch  Bar & Cafe, Grade A+,," Rewa Rewa Road, Whangarei", Mar-15,174.31325,-35.752201
The Vege Twins, Grade A,," 187 Kamo Road, Whau Valley, Whangarei", Mar-15,174.315182,-35.70234
The Whole Cake and Caboodle, Grade A+ ,," 2 Gillingham Road, Kamo, Whangarei ", Nov-14,174.311603,-35.676425
Thyme Out Catering  Co., Grade A+,," Kamo High School, 1 Wilkinson Avenue, Kamo, Whangarei", Sep-14,174.304162,-35.6837
Tiffany's Coffee  Lounge, Grade A+,," 1 James Street, Whangarei", Apr-15,174.320772,-35.725605
Tiki Roast, Grade A+,," Shop 14, Paramount Plaza, Paramount Parade, Tikipunga, ", Oct-14,174.320797,-35.682353
Tikipunga Bakehouse, Grade B+ ,," 161 Kiripaka Road, Tikipunga, Whangarei ", Jul-13,174.3266,-35.686785
Tikipunga Foodmarket, Grade A,," 171 Kiripaka Road, Tikipunga, Whangarei", Aug-14,174.326622,-35.687005
Tikipunga Hot Bread  Shop, Grade A+,," 173 Kiripaka Road, Tikipunga, Whangarei", Sep-14,174.326611,-35.686702
Tikipunga Tavern, Grade A ,," 3 Wanaka Street, Tikipunga, Whangarei ", Nov-14,174.320467,-35.684218
Tikipunga Wholesale Meats, Grade A ,," 169 Kiripaka Road, Tikipunga, Whangarei ", Jun-14,174.326616,-35.686899
Titoki Store, Grade A ,," Mangakahia Road, Titoki, Whangarei ", Nov-14,174.014263,-35.704801
Tonic, Grade A+,," 239A Kamo Road, Whau Valley, Whangarei", Oct-14,174.312511,-35.698695
TopSail, Grade A+,," 204 Beach Road, Onerahi, Whangarei", Sep-14,174.361468,-35.77515
Tornado Trading Post, Grade A,," 2A George Street, Hikurangi", Aug-14,174.287645,-35.598582
Tote & Poke, Grade A ,," 82 Cameron Street, Whangarei ", Dec-14,174.322137,-35.726376
Traditional Kiwi Kai Ltd, Grade A+,," 70 Cameron Street, Whangarei", Apr-15,174.321781,-35.726206
Traditional Roast, Grade B,," 63A Walton Street, Whangarei", Apr-15,174.322916,-35.725772
Treasure Island  Trailerpark Store, Grade A+,," 88 Mahanga Road, Pataua South, Whangarei", Feb-15,174.528885,-35.718129
Tui Crescent  Takeaway, Grade A+,," Tui Crescent, Maunu, Whangarei", Oct-14,174.282706,-35.739671
Tui Crescent Foodmarket, Grade A ,," 1 Tui Crescent, Maunu, Whangarei ", Nov-14,174.28265,-35.739595
Tutukaka General  Store, Grade A,," 270 Matapouri Road, Tutukaka, Whangarei", Apr-15,174.524171,-35.610217
Twistered Sister  Catering, Grade A+,," 18 Nova Scotia Drive, Waipu", Jul-14,174.4487,-35.983549
Two Birds Cafe &  Restaurant, Grade A+,," 378 Marsden Point Road, Ruakaka", Aug-14,174.455731,-35.874238
Two Fish Cafe, Grade A+,," 910 Cove Road, Waipu", Jul-14,174.506916,-36.029878
Vege Twins, Grade A,," 187 Kamo Road, W hau Valley, Whangarei", Mar-14,174.315182,-35.70234
Video Ezy Kamo, Grade A,," 475 Kamo Road, Kamo, Whangarei", Mar-13,174.301638,-35.685021
Vinyl Restaurant & Bar, Grade A+,," 14 Rust Avenue, Whangarei", Feb-13,174.319036,-35.723939
Volcanic Country, Grade A,," 34 Hawkin Road, Maungatapere, Whangarei", Apr-15,174.236982,-35.739551
Waipu Bakery, Grade A,," 12 The Centre, Waipu, Whangarei", Apr-15,174.446676,-35.984427
Waipu Cafe/Deli, Grade A,," 45 The Centre, Waipu, Whangarei", Apr-15,174.444901,-35.984227
Waipu Cove General  Store, Grade A,," 893 Cove Road, Waipu Cove, Whangarei", Oct-13,174.505816,-36.029322
Waipu Hotel Kiwi Kai, Grade A+,," 4 South Road, Waipu", Sep-14,174.447369,-35.985481
Waipu Tyres &  Automotive Limited, Grade B,," 26 The Centre, Waipu, Whangarei", Apr-15,174.445938,-35.984268
Walton Street Cafe, Grade A+,," 67 Walton Street, Whangarei", Aug-14,174.323027,-35.725651
Wave Cafe, Grade A,," 1C Ewing Road, Whangarei", Oct-14,174.325834,-35.721799
West End Schnapper Bar, Grade A+ ,," 47 Maunu Road, Maunu, Whangarei ", Nov-14,174.312401,-35.730794
Whananaki Beach  Store, Grade A,," 2162 Wananaki North Road, Whananaki North, Whangarei", Apr-15,174.454275,-35.513803
Whangarei Netball  Association, Grade A,," Kensington Avenue, Kensington, Whangarei", Jul-14,174.318055,-35.709255
Whangarei Repertory  Society, Grade B,," 13 Aubrey Road, Regent, Whangarei", Apr-15,174.323907,-35.71738
Whau Valley  Takeaways, Grade A+,," 243A Kamo Road, Whau Valley, Whangarei", Oct-14,174.312403,-35.698558
Whau Valley Dairy, Grade A,," 239 Kamo Road, Whau Valley, Whangarei", Oct-14,174.312556,-35.698751
Whau Valley Hot  Bread Shop, Grade A+,," 243B Kamo Road, Whau Valley, Whangarei", Oct-14,174.312336,-35.698506
Wheat Cafe &  Catering, Grade A+,," 40 Dyer Street, Whangarei", Oct-13,174.313094,-35.758024
Wicked Cafe & Takeaways, Grade A+ ,," State Highway 1, Ruakaka ", May-13,174.444224,-35.901488
Wild thyme, Grade B+,," 45 The Centre, Waipu, Whangarei", Apr-15,174.444901,-35.984227
Wildside Bar & Grill, Grade A+,," 47 Vine Street, Whangarei", Oct-14,174.319025,-35.72566
Xylitol Products  Limited, Grade A,," 291 Ody Road, Taurikura, Whangarei", Jul-14,174.530482,-35.828675
Ye Korner Dairy and  Takeaways, Grade A+,," 1 Crawford Crescent, Kamo, Whangarei", Mar-15,174.293944,-35.684616
Young's Food Service, Grade A ,," 61 Mill Road, Whangarei ", Dec-14,174.325259,-35.707942
Yummy Roast &  Noodle Bar, Grade A,," 4 Vine Street, Whangarei", Mar-15,174.319097,-35.7257
